dimension,reviewer_a,reviewer_b,n_overlap,pearson,spearman
plausibility_1_5,chatgpt_5_5_thinking,gemini_3_1_pro,120,0.4210294112694417,0.35914382392880284
plausibility_1_5,chatgpt_5_5_thinking,geriatrics,60,0.6349769474723882,0.46854306580528177
plausibility_1_5,chatgpt_5_5_thinking,neuroscience,60,0.5918300728905235,0.5606170992986461
plausibility_1_5,chatgpt_5_5_thinking,radiology,60,0.7134607703541206,0.6337955668471902
plausibility_1_5,gemini_3_1_pro,geriatrics,60,0.4324176223906218,0.2677258868792156
plausibility_1_5,gemini_3_1_pro,neuroscience,60,0.18549140010962537,0.35170975338137145
plausibility_1_5,gemini_3_1_pro,radiology,60,0.3819094601511002,0.3865228015450096
plausibility_1_5,geriatrics,neuroscience,60,0.23828585560511673,0.15744802175457162
plausibility_1_5,geriatrics,radiology,60,0.7399467563052328,0.5644491892179544
plausibility_1_5,neuroscience,radiology,60,0.4462303993377389,0.47870235735347505
clarity_1_5,chatgpt_5_5_thinking,gemini_3_1_pro,120,0.47475598174820294,0.5107234206272531
clarity_1_5,chatgpt_5_5_thinking,geriatrics,60,0.30985056890722373,0.21603741955979447
clarity_1_5,chatgpt_5_5_thinking,neuroscience,60,0.3872071040248366,0.2997518747485268
clarity_1_5,chatgpt_5_5_thinking,radiology,60,0.2692327087972889,0.15143982716686985
clarity_1_5,gemini_3_1_pro,geriatrics,60,0.2358442703880242,0.12078677734673045
clarity_1_5,gemini_3_1_pro,neuroscience,60,0.1173105184146806,0.17972137715203726
clarity_1_5,gemini_3_1_pro,radiology,60,0.046915105733670304,-0.009570166830708418
clarity_1_5,geriatrics,neuroscience,60,0.36884064327544186,0.3612720106354683
clarity_1_5,geriatrics,radiology,60,0.552834217650529,0.4850956027878383
clarity_1_5,neuroscience,radiology,60,0.6519028305663449,0.6718844904863791
faithfulness_1_5,chatgpt_5_5_thinking,gemini_3_1_pro,120,0.7079187493288163,0.7190118754034228
faithfulness_1_5,chatgpt_5_5_thinking,geriatrics,60,0.24056419117004127,0.28671917844023015
faithfulness_1_5,chatgpt_5_5_thinking,neuroscience,60,0.2731248345603717,0.38800001319276534
faithfulness_1_5,chatgpt_5_5_thinking,radiology,60,0.5432961691815842,0.4708675572856537
faithfulness_1_5,gemini_3_1_pro,geriatrics,60,-0.042565762062108485,-0.034442282160738996
faithfulness_1_5,gemini_3_1_pro,neuroscience,60,0.2998262076060983,0.3908950614858784
faithfulness_1_5,gemini_3_1_pro,radiology,60,0.17400384563667343,0.16803052523178544
faithfulness_1_5,geriatrics,neuroscience,60,0.28281310593618464,0.3106114781021887
faithfulness_1_5,geriatrics,radiology,60,0.5842051741952013,0.5466510524681548
faithfulness_1_5,neuroscience,radiology,60,0.2686958385146609,0.3218493646193686
usefulness_1_5,chatgpt_5_5_thinking,gemini_3_1_pro,120,0.45835874795419995,0.6500522436379215
usefulness_1_5,chatgpt_5_5_thinking,geriatrics,60,0.5051743199948576,0.4256574170518971
usefulness_1_5,chatgpt_5_5_thinking,neuroscience,60,0.1935016839656046,0.19391326391275637
usefulness_1_5,chatgpt_5_5_thinking,radiology,60,0.6138491438721354,0.5307036658506515
usefulness_1_5,gemini_3_1_pro,geriatrics,60,0.037511174426322125,0.07489312651702683
usefulness_1_5,gemini_3_1_pro,neuroscience,60,0.057717393742198565,0.22455956624370688
usefulness_1_5,gemini_3_1_pro,radiology,60,0.13271604498322734,0.128766593859049
usefulness_1_5,geriatrics,neuroscience,60,0.1347741896999963,0.1406752322558328
usefulness_1_5,geriatrics,radiology,60,0.6792437100593535,0.6037889456473768
usefulness_1_5,neuroscience,radiology,60,0.06215745913774694,0.018223790539697176
reviewer_confidence_1_5,chatgpt_5_5_thinking,gemini_3_1_pro,120,0.10333286682659419,0.10278416568176124
reviewer_confidence_1_5,chatgpt_5_5_thinking,geriatrics,60,0.30448120821283703,0.26655001489971475
reviewer_confidence_1_5,chatgpt_5_5_thinking,neuroscience,60,0.21244812886162906,0.23230078911606875
reviewer_confidence_1_5,chatgpt_5_5_thinking,radiology,60,0.14948307200058963,0.14041565431685174
reviewer_confidence_1_5,gemini_3_1_pro,geriatrics,60,0.26415224792290654,0.2802812355747779
reviewer_confidence_1_5,gemini_3_1_pro,neuroscience,60,0.27389428850477676,0.268320896888345
reviewer_confidence_1_5,gemini_3_1_pro,radiology,60,0.23404848407040968,0.2321414287124736
reviewer_confidence_1_5,geriatrics,neuroscience,60,0.22571714247882224,0.17925909482888144
reviewer_confidence_1_5,geriatrics,radiology,60,0.42655146096177526,0.4520612063599037
reviewer_confidence_1_5,neuroscience,radiology,60,0.23493915192249984,0.2535154508138188
