llm_reviewer_id,dimension,n_overlap,correlation_with_human_mean,mean_absolute_difference,bias
chatgpt_5_5_thinking,clarity_1_5,60,0.2915558175712133,1.3777777777777778,1.2777777777777777
chatgpt_5_5_thinking,faithfulness_1_5,60,0.42873500120672314,0.8888888888888888,0.7
chatgpt_5_5_thinking,plausibility_1_5,60,0.6697099838491903,0.5944444444444444,-0.12777777777777774
chatgpt_5_5_thinking,reviewer_confidence_1_5,60,0.32217029749509635,0.7333333333333335,0.611111111111111
chatgpt_5_5_thinking,usefulness_1_5,60,0.5192605669538797,0.7777777777777779,-0.17777777777777773
gemini_3_1_pro,clarity_1_5,60,0.16123138105632606,1.5888888888888888,1.5777777777777777
gemini_3_1_pro,faithfulness_1_5,60,0.1634993070279633,1.061111111111111,0.3166666666666666
gemini_3_1_pro,plausibility_1_5,60,0.4387195439731992,0.7055555555555556,0.005555555555555595
gemini_3_1_pro,reviewer_confidence_1_5,60,0.3507244581500857,0.6888888888888889,0.2777777777777778
gemini_3_1_pro,usefulness_1_5,60,0.1626041181223544,0.9277777777777777,0.5722222222222224
